"Period";"Line";"Leading product";"Product";"Package text long";"Volume";"Value";"Dli ddd";"Volume accumulated";"Value accumulated";"Dli ddd accumulated"
"04-08-2020";"AMGEN, Danmark";"Xgeva";"Xgeva";"Xgeva Inj.væske, opløsning 120 mg 1 stk. (1,7 ml) AMGEN, Danmark 537305";"0";"0,00";"0,000";"0";"0,00";"0,000"
"04-08-2020";"Otezla";"Otezla";"Otezla";"Otezla Filmovertrukne tabl. 10+20+30 mg 4 + 4 + 19 stk. (blister) AMGEN, Danmark 477099";"0";"0,00";"0,000";"0";"0,00";"0,000"
"04-08-2020";"AMGEN, Danmark";"Nplate";"Nplate";"Nplate Pulv.t.inj.væske,opl 500 mikrogram 1 htgl. AMGEN, Danmark 027818";"0";"0,00";"0,000";"0";"0,00";"0,000"
"04-08-2020";"AMGEN, Danmark";"Otezla";"Otezla";"Otezla Filmovertrukne tabl. 30 mg 56 stk. (blister) AMGEN, Danmark 139604";"3";"15.986,52";"84,000";"3";"15.986,52";"84,000"
"04-08-2020";"AMGEN, Danmark";"Otezla";"Otezla";"Otezla Filmovertrukne tabl. 10+20+30 mg 4 + 4 + 19 stk. (blister) AMGEN, Danmark 477099";"0";"0,00";"0,000";"0";"0,00";"0,000"
"04-08-2020";"AMGEN, Danmark";"Prolia";"Prolia";"Prolia Inj.væske, opløsning 60 mg/ml 1 stk. (Paranova) Paranova A/S 047403";"0";"0,00";"0,000";"0";"0,00";"0,000"
"04-08-2020";"AMGEN, Danmark";"Prolia";"Prolia";"Prolia Inj.væske, opløsning 60 mg/ml 1 stk. AMGEN, Danmark 085792";"0";"0,00";"0,000";"0";"0,00";"0,000"
"04-08-2020";"AMGEN, Danmark";"Prolia";"Prolia";"Prolia Inj.væske, opløsning 60 mg/ml 1 stk. (2care4) 2care4 419605";"0";"0,00";"0,000";"0";"0,00";"0,000"
"04-08-2020";"AMGEN, Danmark";"Prolia";"Prolia";"Prolia Inj.væske, opløsning 60 mg/ml 1 stk. (Orifarm) Orifarm A/S 434534";"0";"0,00";"0,000";"20";"35.072,20";"3.636,360"
"04-08-2020";"AMGEN, Danmark";"Prolia";"Prolia";"Prolia Inj.væske, opløsning 60 mg/ml 1 stk. (Abacus) Abacus 464168";"0";"0,00";"0,000";"0";"0,00";"0,000"
"04-08-2020";"AMGEN, Danmark";"Aranesp";"Aranesp";"Aranesp Inj.vsk,opl.,sprøjte 10 mikrogram 4 x 0,4 ml AMGEN, Danmark 003195";"0";"0,00";"0,000";"0";"0,00";"0,000"
"04-08-2020";"AMGEN, Danmark";"Aranesp";"Aranesp";"Aranesp inj.væske, opl., pen 500 mikrogram 1,0 ml AMGEN, Danmark 023480";"0";"0,00";"0,000";"0";"0,00";"0,000"
"04-08-2020";"AMGEN, Danmark";"Aranesp";"Aranesp";"Aranesp Inj.vsk,opl.,sprøjte 20 mikrogram 4x0,5ml(m.saf.dev.) AMGEN, Danmark 057126";"0";"0,00";"0,000";"0";"0,00";"0,000"
"04-08-2020";"AMGEN, Danmark";"Aranesp";"Aranesp";"Aranesp Inj.vsk,opl.,sprøjte 30 mikrogram 4x0,3ml(m.saf.dev.) AMGEN, Danmark 057148";"0";"0,00";"0,000";"0";"0,00";"0,000"
