"Period";"Line";"Leading product";"Product";"Package text long";"Volume";"Value";"Dli ddd";"Organisation";"District";"Brick"
"03-08-2020";"AMGEN, Danmark";"Xgeva";"Xgeva";"Xgeva Inj.væske, opløsning 120 mg 1 stk. (1,7 ml) AMGEN, Danmark 537305";"10";"21.018,80";"3.636,360";"Amgen regioner";"Region Syddanmark";"305 Odense City"
"03-08-2020";"AMGEN, Danmark";"Xgeva";"Xgeva";"Xgeva Inj.væske, opløsning 120 mg 1 stk. (1,7 ml) AMGEN, Danmark 537305";"36";"75.667,68";"13.090,896";"Amgen regioner";"Region Syddanmark";"307 Sønderborg"
"03-08-2020";"AMGEN, Danmark";"Xgeva";"Xgeva";"Xgeva Inj.væske, opløsning 120 mg 1 stk. (1,7 ml) AMGEN, Danmark 537305";"20";"42.037,60";"7.272,720";"Amgen regioner";"Region Syddanmark";"312 Kolding"
"03-08-2020";"AMGEN, Danmark";"Xgeva";"Xgeva";"Xgeva Inj.væske, opløsning 120 mg 1 stk. (1,7 ml) AMGEN, Danmark 537305";"10";"21.018,80";"3.636,360";"Amgen regioner";"Region Syddanmark";"313 Esbjerg"
"03-08-2020";"AMGEN, Danmark";"Xgeva";"Xgeva";"Xgeva Inj.væske, opløsning 120 mg 1 stk. (1,7 ml) AMGEN, Danmark 537305";"40";"84.075,20";"14.545,440";"Amgen regioner";"Region Nordjylland";"502 Aalborg City"
"03-08-2020";"AMGEN, Danmark";"Nplate";"Nplate";"Nplate Pulv.t.inj.væske,opl 250 mikrogram 1 htgl. AMGEN, Danmark 027807";"4";"14.302,72";"33,332";"Amgen regioner";"Region Syddanmark";"305 Odense City"
"03-08-2020";"AMGEN, Danmark";"Nplate";"Nplate";"Nplate Pulv.t.inj.væske,opl 500 mikrogram 1 htgl. AMGEN, Danmark 027818";"4";"28.605,32";"66,668";"Amgen regioner";"Region Syddanmark";"305 Odense City"
"03-08-2020";"AMGEN, Danmark";"Otezla";"Otezla";"Otezla Filmovertrukne tabl. 30 mg 56 stk. (blister) AMGEN, Danmark 139604";"6";"31.973,04";"168,000";"Amgen regioner";"Region Hovedstaden";"115 Ballerup"
"03-08-2020";"AMGEN, Danmark";"Prolia";"Prolia";"Prolia Inj.væske, opløsning 60 mg/ml 1 stk. (Orifarm) Orifarm A/S 434534";"3";"5.260,83";"545,454";"Amgen regioner";"Region Sjælland";"202 Roskilde"
"03-08-2020";"AMGEN, Danmark";"Prolia";"Prolia";"Prolia Inj.væske, opløsning 60 mg/ml 1 stk. (Orifarm) Orifarm A/S 434534";"10";"17.536,10";"1.818,180";"Amgen regioner";"Region Syddanmark";"305 Odense City"
"03-08-2020";"AMGEN, Danmark";"Prolia";"Prolia";"Prolia Inj.væske, opløsning 60 mg/ml 1 stk. (Orifarm) Orifarm A/S 434534";"4";"7.014,44";"727,272";"Amgen regioner";"Region Syddanmark";"307 Sønderborg"
"03-08-2020";"AMGEN, Danmark";"Prolia";"Prolia";"Prolia Inj.væske, opløsning 60 mg/ml 1 stk. (Orifarm) Orifarm A/S 434534";"10";"17.536,10";"1.818,180";"Amgen regioner";"Region Syddanmark";"313 Esbjerg"
"03-08-2020";"AMGEN, Danmark";"Prolia";"Prolia";"Prolia Inj.væske, opløsning 60 mg/ml 1 stk. (Orifarm) Orifarm A/S 434534";"105";"184.129,05";"19.090,890";"Amgen regioner";"Regions Midtjylland";"403 Århus City"
"03-08-2020";"AMGEN, Danmark";"Prolia";"Prolia";"Prolia Inj.væske, opløsning 60 mg/ml 1 stk. (Orifarm) Orifarm A/S 434534";"20";"35.072,20";"3.636,360";"Amgen regioner";"Region Nordjylland";"502 Aalborg City"
"03-08-2020";"AMGEN, Danmark";"Aranesp";"Aranesp";"Aranesp Inj.vsk,opl.,sprøjte 10 mikrogram 4 x 0,4 ml AMGEN, Danmark 003195";"5";"3.119,05";"44,445";"Amgen regioner";"Region Syddanmark";"313 Esbjerg"
"03-08-2020";"AMGEN, Danmark";"Aranesp";"Aranesp";"Aranesp Inj.vsk,opl.,sprøjte 20 mikrogram 4x0,5ml(m.saf.dev.) AMGEN, Danmark 057126";"36";"44.916,48";"640,008";"Amgen regioner";"Region Syddanmark";"305 Odense City"
"03-08-2020";"AMGEN, Danmark";"Aranesp";"Aranesp";"Aranesp Inj.vsk,opl.,sprøjte 20 mikrogram 4x0,5ml(m.saf.dev.) AMGEN, Danmark 057126";"36";"44.916,48";"640,008";"Amgen regioner";"Region Syddanmark";"307 Sønderborg"
"03-08-2020";"AMGEN, Danmark";"Aranesp";"Aranesp";"Aranesp Inj.vsk,opl.,sprøjte 20 mikrogram 4x0,5ml(m.saf.dev.) AMGEN, Danmark 057126";"9";"11.229,12";"160,002";"Amgen regioner";"Region Syddanmark";"312 Kolding"
"03-08-2020";"AMGEN, Danmark";"Aranesp";"Aranesp";"Aranesp Inj.vsk,opl.,sprøjte 30 mikrogram 4x0,3ml(m.saf.dev.) AMGEN, Danmark 057148";"100";"187.147,00";"2.666,700";"Amgen regioner";"Region Hovedstaden";"115 Ballerup"
"03-08-2020";"AMGEN, Danmark";"Aranesp";"Aranesp";"Aranesp Inj.vsk,opl.,sprøjte 30 mikrogram 4x0,3ml(m.saf.dev.) AMGEN, Danmark 057148";"30";"56.144,10";"800,010";"Amgen regioner";"Region Syddanmark";"305 Odense City"
"03-08-2020";"AMGEN, Danmark";"Aranesp";"Aranesp";"Aranesp Inj.vsk,opl.,sprøjte 30 mikrogram 4x0,3ml(m.saf.dev.) AMGEN, Danmark 057148";"10";"18.714,70";"266,670";"Amgen regioner";"Region Syddanmark";"307 Sønderborg"
"03-08-2020";"AMGEN, Danmark";"Aranesp";"Aranesp";"Aranesp Inj.vsk,opl.,sprøjte 30 mikrogram 4x0,3ml(m.saf.dev.) AMGEN, Danmark 057148";"9";"16.843,23";"240,003";"Amgen regioner";"Region Syddanmark";"312 Kolding"
"03-08-2020";"AMGEN, Danmark";"Aranesp";"Aranesp";"Aranesp Inj.vsk,opl.,sprøjte 30 mikrogram 4x0,3ml(m.saf.dev.) AMGEN, Danmark 057148";"10";"18.714,70";"266,670";"Amgen regioner";"Region Syddanmark";"313 Esbjerg"
"03-08-2020";"AMGEN, Danmark";"Aranesp";"Aranesp";"Aranesp Inj.vsk,opl.,sprøjte 30 mikrogram 4x0,3ml(m.saf.dev.) AMGEN, Danmark 057148";"10";"18.714,70";"266,670";"Amgen regioner";"Region Nordjylland";"502 Aalborg City"
"03-08-2020";"AMGEN, Danmark";"Aranesp";"Aranesp";"Aranesp Inj.vsk,opl.,sprøjte 40 mikrogram 4x0,4 ml(m.saf.dev.) AMGEN, Danmark 057171";"70";"174.675,20";"2.488,920";"Amgen regioner";"Region Hovedstaden";"115 Ballerup"
"03-08-2020";"AMGEN, Danmark";"Aranesp";"Aranesp";"Aranesp Inj.vsk,opl.,sprøjte 40 mikrogram 4x0,4 ml(m.saf.dev.) AMGEN, Danmark 057171";"20";"49.907,20";"711,120";"Amgen regioner";"Region Sjælland";"202 Roskilde"
"03-08-2020";"AMGEN, Danmark";"Aranesp";"Aranesp";"Aranesp Inj.vsk,opl.,sprøjte 40 mikrogram 4x0,4 ml(m.saf.dev.) AMGEN, Danmark 057171";"10";"24.953,60";"355,560";"Amgen regioner";"Region Sjælland";"208 Falster"
"03-08-2020";"AMGEN, Danmark";"Aranesp";"Aranesp";"Aranesp Inj.vsk,opl.,sprøjte 40 mikrogram 4x0,4 ml(m.saf.dev.) AMGEN, Danmark 057171";"12";"29.944,32";"426,672";"Amgen regioner";"Region Syddanmark";"305 Odense City"
