"Period";"Line";"Leading product";"Product";"Package text long";"Volume";"Value";"Dli ddd";"Organisation";"District";"Brick"
"03-08-2020";"AMGEN, Danmark";"Xgeva";"Xgeva";"Xgeva Inj.væske, opløsning 120 mg 1 stk. (1,7 ml) AMGEN, Danmark 537305";"10";"21.229,00";"3.636,360";"Amgen regioner";"Rest";"601 Færøerne"
"03-08-2020";"AMGEN, Danmark";"Prolia";"Prolia";"Prolia Inj.væske, opløsning 60 mg/ml 1 stk. (Paranova) Paranova A/S 047403";"1";"1.807,00";"181,818";"Amgen regioner";"Region Hovedstaden";"116 Tåstrup"
"03-08-2020";"AMGEN, Danmark";"Prolia";"Prolia";"Prolia Inj.væske, opløsning 60 mg/ml 1 stk. (Paranova) Paranova A/S 047403";"1";"1.807,00";"181,818";"Amgen regioner";"Region Syddanmark";"315 Vejle"
"03-08-2020";"AMGEN, Danmark";"Prolia";"Prolia";"Prolia Inj.væske, opløsning 60 mg/ml 1 stk. (Paranova) Paranova A/S 047403";"1";"1.807,00";"181,818";"Amgen regioner";"Regions Midtjylland";"404 Ydre Århus"
"03-08-2020";"AMGEN, Danmark";"Prolia";"Prolia";"Prolia Inj.væske, opløsning 60 mg/ml 1 stk. (Paranova) Paranova A/S 047403";"2";"3.614,00";"363,636";"Amgen regioner";"Regions Midtjylland";"405 Silkeborg"
"03-08-2020";"AMGEN, Danmark";"Prolia";"Prolia";"Prolia Inj.væske, opløsning 60 mg/ml 1 stk. AMGEN, Danmark 085792";"2";"3.628,92";"363,636";"Amgen regioner";"Region Hovedstaden";"106 Glostrup"
"03-08-2020";"AMGEN, Danmark";"Prolia";"Prolia";"Prolia Inj.væske, opløsning 60 mg/ml 1 stk. AMGEN, Danmark 085792";"2";"3.628,92";"363,636";"Amgen regioner";"Region Hovedstaden";"107 Kbh. NV"
"03-08-2020";"AMGEN, Danmark";"Prolia";"Prolia";"Prolia Inj.væske, opløsning 60 mg/ml 1 stk. AMGEN, Danmark 085792";"1";"1.814,46";"181,818";"Amgen regioner";"Region Hovedstaden";"109 Gentofte"
"03-08-2020";"AMGEN, Danmark";"Prolia";"Prolia";"Prolia Inj.væske, opløsning 60 mg/ml 1 stk. AMGEN, Danmark 085792";"1";"1.814,46";"181,818";"Amgen regioner";"Region Hovedstaden";"113 Helsingør"
"03-08-2020";"AMGEN, Danmark";"Prolia";"Prolia";"Prolia Inj.væske, opløsning 60 mg/ml 1 stk. AMGEN, Danmark 085792";"1";"1.814,46";"181,818";"Amgen regioner";"Region Sjælland";"206 Næstved"
"03-08-2020";"AMGEN, Danmark";"Prolia";"Prolia";"Prolia Inj.væske, opløsning 60 mg/ml 1 stk. AMGEN, Danmark 085792";"1";"1.814,46";"181,818";"Amgen regioner";"Region Sjælland";"207 Vordingborg"
"03-08-2020";"AMGEN, Danmark";"Prolia";"Prolia";"Prolia Inj.væske, opløsning 60 mg/ml 1 stk. AMGEN, Danmark 085792";"1";"1.814,46";"181,818";"Amgen regioner";"Region Syddanmark";"311 Haderslev"
"03-08-2020";"AMGEN, Danmark";"Prolia";"Prolia";"Prolia Inj.væske, opløsning 60 mg/ml 1 stk. AMGEN, Danmark 085792";"2";"3.628,92";"363,636";"Amgen regioner";"Region Syddanmark";"312 Kolding"
"03-08-2020";"AMGEN, Danmark";"Prolia";"Prolia";"Prolia Inj.væske, opløsning 60 mg/ml 1 stk. AMGEN, Danmark 085792";"1";"1.814,46";"181,818";"Amgen regioner";"Region Syddanmark";"313 Esbjerg"
"03-08-2020";"AMGEN, Danmark";"Prolia";"Prolia";"Prolia Inj.væske, opløsning 60 mg/ml 1 stk. AMGEN, Danmark 085792";"5";"9.072,30";"909,090";"Amgen regioner";"Regions Midtjylland";"402 Horsens"
"03-08-2020";"AMGEN, Danmark";"Prolia";"Prolia";"Prolia Inj.væske, opløsning 60 mg/ml 1 stk. AMGEN, Danmark 085792";"2";"3.628,92";"363,636";"Amgen regioner";"Regions Midtjylland";"404 Ydre Århus"
"03-08-2020";"AMGEN, Danmark";"Prolia";"Prolia";"Prolia Inj.væske, opløsning 60 mg/ml 1 stk. AMGEN, Danmark 085792";"2";"3.628,92";"363,636";"Amgen regioner";"Regions Midtjylland";"406 Herning"
"03-08-2020";"AMGEN, Danmark";"Prolia";"Prolia";"Prolia Inj.væske, opløsning 60 mg/ml 1 stk. AMGEN, Danmark 085792";"3";"5.443,38";"545,454";"Amgen regioner";"Regions Midtjylland";"409 Skive"
"03-08-2020";"AMGEN, Danmark";"Prolia";"Prolia";"Prolia Inj.væske, opløsning 60 mg/ml 1 stk. AMGEN, Danmark 085792";"2";"3.628,92";"363,636";"Amgen regioner";"Regions Midtjylland";"411 Randers"
"03-08-2020";"AMGEN, Danmark";"Prolia";"Prolia";"Prolia Inj.væske, opløsning 60 mg/ml 1 stk. AMGEN, Danmark 085792";"2";"3.628,92";"363,636";"Amgen regioner";"Regions Midtjylland";"412 Ebeltoft"
"03-08-2020";"AMGEN, Danmark";"Prolia";"Prolia";"Prolia Inj.væske, opløsning 60 mg/ml 1 stk. AMGEN, Danmark 085792";"1";"1.814,46";"181,818";"Amgen regioner";"Region Nordjylland";"501 Hadsund"
